2024-02-28 20:37:36,689 INFO    Thread-7 (_run_job):11752 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-28 20:37:36,690 INFO    Thread-7 (_run_job):11752 [wandb_setup.py:_flush():76] Configure stats pid to 11752
2024-02-28 20:37:36,690 INFO    Thread-7 (_run_job):11752 [wandb_setup.py:_flush():76] Loading settings from /home/dofa/.config/wandb/settings
2024-02-28 20:37:36,690 INFO    Thread-7 (_run_job):11752 [wandb_setup.py:_flush():76] Loading settings from /home/dofa/Desktop/code/PMC/wandb/settings
2024-02-28 20:37:36,690 INFO    Thread-7 (_run_job):11752 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'local_CAE_training_v0.2', 'entity': 'dofa_unsupervised', 'root_dir': '/home/dofa/Desktop/code/PMC', 'sweep_id': 'wh2f5bpq', 'run_id': '96qtvlu4', 'sweep_param_path': '/home/dofa/Desktop/code/PMC/wandb/sweep-wh2f5bpq/config-96qtvlu4.yaml'}
2024-02-28 20:37:36,690 INFO    Thread-7 (_run_job):11752 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-28 20:37:36,690 INFO    Thread-7 (_run_job):11752 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/machine_learning/un_supervised/neural_network/train_CAE.py', 'program_abspath': '/home/dofa/Desktop/code/PMC/src/machine_learning/un_supervised/neural_network/train_CAE.py', 'program': '/home/dofa/Desktop/code/PMC/src/machine_learning/un_supervised/neural_network/train_CAE.py'}
2024-02-28 20:37:36,690 INFO    Thread-7 (_run_job):11752 [wandb_init.py:_log_setup():526] Logging user logs to /home/dofa/Desktop/code/PMC/wandb/run-20240228_203736-96qtvlu4/logs/debug.log
2024-02-28 20:37:36,690 INFO    Thread-7 (_run_job):11752 [wandb_init.py:_log_setup():527] Logging internal logs to /home/dofa/Desktop/code/PMC/wandb/run-20240228_203736-96qtvlu4/logs/debug-internal.log
2024-02-28 20:37:36,691 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():566] calling init triggers
2024-02-28 20:37:36,691 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():573] wandb.init called with sweep_config: {'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001}
config: {}
2024-02-28 20:37:36,691 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():616] starting backend
2024-02-28 20:37:36,691 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():620] setting up manager
2024-02-28 20:37:36,699 INFO    Thread-7 (_run_job):11752 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-28 20:37:36,701 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():628] backend started and connected
2024-02-28 20:37:36,709 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_config_callback():1343] config_cb None None {'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001}
2024-02-28 20:37:36,709 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():720] updated telemetry
2024-02-28 20:37:36,713 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-28 20:37:36,975 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_on_init():2262] communicating current version
2024-02-28 20:37:37,093 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_on_init():2271] got version response 
2024-02-28 20:37:37,093 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():804] starting run threads in backend
2024-02-28 20:37:38,571 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_console_start():2241] atexit reg
2024-02-28 20:37:38,571 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-28 20:37:38,571 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-28 20:37:38,572 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-28 20:37:38,572 INFO    Thread-7 (_run_job):11752 [wandb_init.py:init():847] run started, returning control to user process
2024-02-28 20:40:56,150 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_finish():1970] finishing run dofa_unsupervised/local_CAE_training_v0.2/96qtvlu4
2024-02-28 20:40:56,150 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 1
2024-02-28 20:40:56,150 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_restore():2193] restore
2024-02-28 20:40:56,151 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_restore():2199] restore done
2024-02-28 20:41:02,135 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-28 20:41:02,135 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-28 20:41:02,144 INFO    Thread-7 (_run_job):11752 [wandb_run.py:_footer_sync_info():3825] logging synced files
